# schema=4; id index-reference platform platform-manifest-digest platform-manifest-media-type version license source-url source-revision build-file build-file-sha256 redistribution inspection-caveat
studio	docker.io/supabase/studio:2026.08.03-sha-022b374@sha256:606aca9fdaa753b60968d5c304e2ada83869b76c9043684e63d5885aca9550e8	linux/amd64	sha256:2616bb9ed337963fe27ce682b1783875083537d5fb54bfea4c399fb0c56ff03e	application/vnd.oci.image.manifest.v1+json	2026.08.03-sha-022b374	Apache-2.0	https://github.com/supabase/supabase	9952d6f10fb9a7b2d9d8c3312b279bfab2c4ba96	apps/studio/Dockerfile	950fa4fc07f056e847487221e3989f982c25f6b6ad7ad05a3af8c94948ae4c1e	not-redistributed-transient-test-pull	registry labels absent; tag short SHA was not resolvable, so the reviewed stack consumer revision and its Studio build file are recorded without claiming reproducibility
kong	docker.io/kong/kong:3.9.3@sha256:9a2ae6699a2ce0d60592eb176555d3594a22782c20cc6557a61ff3a7e8b559a3	linux/amd64	sha256:61591af560fc9ba4d1e2fcc8be87f28e374c4b2f4a8f0e637702ee12dcaddade	application/vnd.oci.image.manifest.v1+json	3.9.3	Apache-2.0	https://github.com/Kong/kong	a643428bc4d5397152164a63bcc0f8bc65fce69d	build/dockerfiles/deb.Dockerfile	c60ba413c79c13326950a3401033f049b710c78146c904211d36a1f5a8bac410	not-redistributed-transient-test-pull	OCI source and revision labels match; release assembly and the Ubuntu package closure are not reproduced by this fixture
auth	docker.io/supabase/gotrue:v2.189.0@sha256:385184459f57569c54c25209f51f3b2be99ddd7c4ce9e3555b5d3eea8447b7cf	linux/amd64	sha256:0a8557cbe0fd53a067726fe656f79eb1b03a1ab3cdde4b59907ce5a1e1a202ab	application/vnd.oci.image.manifest.v1+json	2.189.0	MIT	https://github.com/supabase/auth	4fa66ba71d8c55b5c95cd5635766ed8bbae6d96a	Dockerfile	eb979012a2532661a8bf3a58a545279f788c5995c940d6eda264405949926eaa	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
rest	docker.io/postgrest/postgrest:v16.3@sha256:ec0e25a4e24b0a3bc5e4f011369bfc736bd1b19f513bd01079b86329a7636962	linux/amd64	sha256:63b567a462c4fd81ede0bdff0b38a150f732ad5fe4f4b01cebeb6a1aa8dbe0d6	application/vnd.docker.distribution.manifest.v2+json	16.3	MIT	https://github.com/PostgREST/postgrest	b42f5f50e3bdd0e949b40cd8e66eef4536776544	nix/tools/docker/default.nix	4cd8b5042b63438726d8853c90c522ac0958622ac2d440f252f02ee0d5bdc2c5	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
realtime	docker.io/supabase/realtime:v2.102.3@sha256:aa1c92c0cf326007563641730ec9da9c60478caa6853887775365fa2c097a471	linux/amd64	sha256:2cc87edf0db5cebf1f58c9a4116bb80a25ff764c8706b6802fa68d976e66e5d7	application/vnd.oci.image.manifest.v1+json	2.102.3	Apache-2.0	https://github.com/supabase/realtime	cd952f26787d764b357eec01568f680137756293	Dockerfile	810a6403cc666203143749e98ab51e74df741ee400ba29fd18e60a14a06ad2de	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
storage	docker.io/supabase/storage-api:v1.60.4@sha256:c8eb9858eafec891a97c27125470aaad54703c3f4eb4d55ca7f1bf6c6411febf	linux/amd64	sha256:6f706c1184d97b081446527bb62a3193d3d47ad0daafcf738fd5c3e5a62aed97	application/vnd.oci.image.manifest.v1+json	1.60.4	Apache-2.0	https://github.com/supabase/storage	873c19acd4ac0eb8212495337068fed9e2dd3660	Dockerfile	836471e6a9727685cc1772b6cf822774b96eaee8a32af68c4e6e990f23403e2d	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
imgproxy	docker.io/darthsim/imgproxy:v3.30.1@sha256:3b709e4a0e5e8e0e959b556b7031229202b4b8e7e7d955c517ea7abed68ee34d	linux/amd64	sha256:965c3782818766a477a056016e18f88f9a028bf68b39cb2316978945ac2c0492	application/vnd.docker.distribution.manifest.v2+json	3.30.1	MIT	https://github.com/imgproxy/imgproxy	62224b4414db836d3e61359e2beeb0cc25b13861	docker/Dockerfile	e9163e0021acac9addb1b262a70328b71643376151e243bdbbdd2857d686ece7	not-redistributed-transient-test-pull	OCI source revision and MIT label match; base distribution packages remain outside the source-file hash
meta	docker.io/supabase/postgres-meta:v0.96.6@sha256:a84cc713585eea7b401e4a2561ec4a1e48c87083d1c7ecb4502f204bb4391300	linux/amd64	sha256:b9edad6fff2d4fb991ecd57837dbe3f21d2efa0f0ccb186f6ccf0e2d57192fed	application/vnd.oci.image.manifest.v1+json	0.96.6	Apache-2.0	https://github.com/supabase/postgres-meta	f21a4da30484c6146a6ac4a3f260d992e7330bf1	Dockerfile	a9a97fbb9bacbeeaa5006c8eea1a4e786eaa36634ee0c08e6125b96ebc595b4b	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
functions	docker.io/supabase/edge-runtime:v1.74.0@sha256:2781daf92394db91f7e94129cc3d04ec474ad16a8fe64b3fbeef6e7d557ab120	linux/amd64	sha256:8c17262ecf2fcc43fe19c48d239280592129f2164e61f0f17ba56533120f92d5	application/vnd.oci.image.manifest.v1+json	1.74.0	MIT	https://github.com/supabase/edge-runtime	b1edf453b6ab52eba0cf8c495ed1881001d51c88	Dockerfile	ed0406597fb376920995dc09fde2c3124d4cad1d871666cf4fa9d8424d18cc61	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
db	docker.io/supabase/postgres:17.6.1.136@sha256:f371b5f3f2ac0a05703f33d6e6134515fb2498cab708fb948a0aeb7481467c00	linux/amd64	sha256:5a4314708484bec672de2c09653a5c01fb1c84a998564ac231b0325e2238ed5b	application/vnd.oci.image.manifest.v1+json	17.6.1.136	PostgreSQL-and-bundled-extension-licenses	https://github.com/supabase/postgres	d156ba65c14694c12cc5e782bc15b9b8ed2d1376	Dockerfile-17	4eff99fc93e2c4957d2a866249602f28c3f270f4d9cf775e0be1659e0ba26ff3	not-redistributed-transient-test-pull	compound PostgreSQL and extension closure; postgres-components.tsv records the reviewed boundary, and neither that table nor the source hash is a complete image SBOM
supavisor	docker.io/supabase/supavisor:2.9.5@sha256:31c2f05b13b11069660fdfae2f6cfd37b509748d2710aca121cfee8b16cb8b07	linux/amd64	sha256:4dd940610c0ef5c8284ef88a28530566d45b52f7d3de285497a67c169e00cec9	application/vnd.oci.image.manifest.v1+json	2.9.5	Apache-2.0	https://github.com/supabase/supavisor	9cf7560b2b2d6e2f72711c1e2a131dc0b2ea6463	Dockerfile	e765b668d18dc083dc033946b8d2ab1c8092854345fe8724df6e431edd0a0a2a	not-redistributed-transient-test-pull	registry labels absent; release tag and build file were reviewed independently but are not an image-to-source attestation
