BFP0002	container:{{resource_prefix}}alloy	warning	omitted	partial
BFP0002	container:{{resource_prefix}}grafana	warning	omitted	partial
BFP0002	container:{{resource_prefix}}log-producer	warning	omitted	partial
BFP0002	container:{{resource_prefix}}loki	warning	omitted	partial
BFP0002	container:{{resource_prefix}}metrics-producer	warning	omitted	partial
BFP0002	container:{{resource_prefix}}prometheus	warning	omitted	partial
BFP0002	image:registry.invalid/boxferry-test/observability-application:alloy	warning	omitted	partial
BFP0002	image:registry.invalid/boxferry-test/observability-application:grafana	warning	omitted	partial
BFP0002	image:registry.invalid/boxferry-test/observability-application:loki	warning	omitted	partial
BFP0002	image:registry.invalid/boxferry-test/observability-application:producer	warning	omitted	partial
BFP0002	image:registry.invalid/boxferry-test/observability-application:prometheus	warning	omitted	partial
BFP0002	images.registry.invalid/boxferry-test/observability-application:alloy.labels	warning	omitted	partial
BFP0002	images.registry.invalid/boxferry-test/observability-application:grafana.labels	warning	omitted	partial
BFP0002	images.registry.invalid/boxferry-test/observability-application:producer.labels	warning	omitted	partial
BFP0002	images.registry.invalid/boxferry-test/observability-application:prometheus.author	warning	omitted	partial
BFP0002	images.registry.invalid/boxferry-test/observability-application:prometheus.labels	warning	omitted	partial
BFP0002	network:{{resource_prefix}}backend	warning	omitted	partial
BFP0002	network:{{resource_prefix}}edge	warning	omitted	partial
BFP0002	networks.{{resource_prefix}}backend.driver	warning	omitted	partial
BFP0002	networks.{{resource_prefix}}backend.ipam_driver	warning	omitted	partial
BFP0002	networks.{{resource_prefix}}backend.native_ipv6_enabled	warning	omitted	partial
BFP0002	networks.{{resource_prefix}}edge.driver	warning	omitted	partial
BFP0002	networks.{{resource_prefix}}edge.ipam_driver	warning	omitted	partial
BFP0002	networks.{{resource_prefix}}edge.native_ipv6_enabled	warning	omitted	partial
BFP0002	services.{{resource_prefix}}alloy.hostname	warning	omitted	partial
BFP0002	services.{{resource_prefix}}alloy.mounts[2].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}grafana.hostname	warning	omitted	partial
BFP0002	services.{{resource_prefix}}grafana.mounts[1].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}grafana.mounts[2].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}grafana.mounts[3].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}log-producer.hostname	warning	omitted	partial
BFP0002	services.{{resource_prefix}}log-producer.mounts[1].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}loki.hostname	warning	omitted	partial
BFP0002	services.{{resource_prefix}}loki.mounts[1].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}metrics-producer.hostname	warning	omitted	partial
BFP0002	services.{{resource_prefix}}metrics-producer.mounts[0].destination	warning	omitted	partial
BFP0002	services.{{resource_prefix}}prometheus.hostname	warning	omitted	partial
BFP0002	services.{{resource_prefix}}prometheus.mounts[1].destination	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}alloy-data	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}alloy-data	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}grafana-data	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}grafana-data	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}loki-data	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}prometheus-data	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}telemetry-logs	warning	omitted	partial
BFP0002	volume:{{resource_prefix}}telemetry-logs	warning	omitted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:alloy.architecture	warning	not-promoted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:alloy.created	warning	not-promoted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:alloy.digest	warning	not-promoted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:alloy.environment	warning	not-promoted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:alloy.manifest_type	warning	not-promoted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:alloy.operating_system	warning	not-promoted	partial
BFP0003	images.registry.invalid/boxferry-test/observability-application:grafana.architecture	warning	not-promoted	partial
